Fiscal year,Ticker,SHORT NAME,Audit fees,Non audit fees,Total fees,Benefits fees,It fees,Tax fees,Audit related fees,Other fees,Restatement,Auditor name,ShrOut,BalSheetBookVal,Matchfy balsh book value,Matchfy balsh total assets,Matchfy balsh cash and cash equivalents
2009,TGT,TARGET,3713000,1705000,5418000,0,0,1294000,411000,0,0,Ernst & Young LLP,752780000,13481000000,13481000000,44106000000,864000000
2008,TGT,TARGET,3500000,400000,3900000,0,0,100000,300000,0,0,Ernst & Young LLP,818738000,15099000000,15099000000,44560000000,2450000000
2007,TGT,TARGET,3300000,400000,3700000,0,0,200000,200000,0,0,Ernst & Young LLP,859771000,15421000000,15421000000,37349000000,813000000
2006,TGT,TARGET,3400000,400000,3800000,0,0,200000,200000,0,0,Ernst & Young LLP,874074850,14205000000,14205000000,34995000000,1648000000
2005,TGT,TARGET,2400000,1400000,3800000,0,0,400000,1000000,0,0,Ernst & Young LLP,885553006,12823000000,12823000000,32293000000,2245000000
2004,TGT,TARGET,1700000,600000,2300000,0,0,400000,200000,0,0,Ernst & Young LLP,911808051,11065000000,11065000000,31392000000,716000000
2003,TGT,TARGET,1300000,900000,2200000,0,0,0,400000,500000,1,Ernst & Young LLP,909800000,9443000000,9443000000,28603000000,758000000
2002,TGT,TARGET,1200000,700000,1900000,0,0,400000,300000,0,0,Ernst & Young LLP,902788282,7860000000,7860000000,24154000000,499000000
2001,TGT,TARGET,1100000,4100000,5200000,0,0,0,400000,3700000,0,Ernst & Young LLP,899069348,6519000000,6519000000,19490000000,356000000
2015,TJX,TJX COMPANIES,6588000,1951000,8539000,0,0,861000,1017000,73000,0,PricewaterhouseCoopers LLP,688900000,3954360000,3954360000,11128381000,2493775000
2014,TJX,TJX COMPANIES,5482000,1125000,6607000,0,0,495000,403000,227000,0,PricewaterhouseCoopers LLP,711199000,3917206000,3917206000,10201022000,2149746000
2012,TJX,TJX COMPANIES,4967000,635000,5602000,0,0,318000,295000,22000,0,PricewaterhouseCoopers LLP,754280000,3029355000,3029355000,8281605000,1507112000
2011,TJX,TJX COMPANIES,4377000,915000,5292000,0,0,488000,415000,12000,0,PricewaterhouseCoopers LLP,395802000,2919963000,2919963000,7971763000,1741751000
2010,TJX,TJX COMPANIES,4475000,870000,5345000,0,0,476000,381000,13000,0,PricewaterhouseCoopers LLP,419709000,2709482000,2709482000,7463977000,1614607000
2013,TJX,TJX COMPANIES,5106000,853000,5959000,0,0,258000,398000,197000,0,PricewaterhouseCoopers LLP,729253000,3349668000,3349668000,9511855000,1811957000
2009,TJX,TJX COMPANIES,3710000,870000,4580000,0,0,525000,330000,15000,0,PricewaterhouseCoopers LLP,416340000,1775501000,1775501000,6178242000,453527000
2008,TJX,TJX COMPANIES,3404000,1046000,4450000,0,0,505000,541000,0,0,PricewaterhouseCoopers LLP,427950000,1949721000,1949721000,6599934000,732612000
2007,TJX,TJX COMPANIES,4024000,1295000,5319000,0,0,702000,593000,0,0,PricewaterhouseCoopers LLP,453650000,2107223000,2107223000,6085700000,856669000
2006,TJX,TJX COMPANIES,3683000,1518000,5201000,0,0,1195000,323000,0,0,PricewaterhouseCoopers LLP,460967060,1709229000,1709229000,5496305000,465649000
2005,TJX,TJX COMPANIES,4721000,2041000,6762000,0,0,1503000,538000,0,0,PricewaterhouseCoopers LLP,480699154,1467019000,1467019000,5075473000,307187000
2004,TJX,TJX COMPANIES,2158000,1456000,3614000,0,0,750000,706000,0,0,PricewaterhouseCoopers LLP,499181639,1368561000,1368561000,4396767000,246403000
2003,TJX,TJX COMPANIES,1538000,3597000,5135000,0,0,2589000,117000,891000,0,PricewaterhouseCoopers LLP,520515041,1229964000,1229964000,3940489000,492330000
2002,TJX,TJX COMPANIES,1031000,3207000,4238000,0,0,0,0,3207000,1,PricewaterhouseCoopers LLP,543075306,1161597000,1161597000,3595743000,492776000
2001,TJX,TJX COMPANIES,1056000,1856000,2912000,0,0,0,0,1856000,0,PricewaterhouseCoopers LLP,560757350,1033726000,1033726000,2932283000,132535000
