DATE,return
21OCT1930,-0.036451945
22OCT1930,-0.007647191
23OCT1930,0.0167260252
24OCT1930,0.0364872542
27OCT1930,0
28OCT1930,-0.000717875
29OCT1930,-0.0218843
30OCT1930,-0.014044581
31OCT1930,-0.025417339
03NOV1930,0.0110648197
05NOV1930,-0.030560976
06NOV1930,0.0050481343
07NOV1930,-0.035712046
10NOV1930,-0.016070639
11NOV1930,0.0098580097
12NOV1930,0.0229882068
13NOV1930,0.0170533332
14NOV1930,0.0200330511
17NOV1930,-0.01936801
18NOV1930,0.0160478274
19NOV1930,0.0223735039
20NOV1930,-0.002562325
21NOV1930,0.0170119898
24NOV1930,-0.010724672
25NOV1930,-0.014983959
26NOV1930,-0.012806079
28NOV1930,-0.012087395
01DEC1930,0.0249473895
02DEC1930,0.0071985269
03DEC1930,-0.014612181
04DEC1930,-0.017091624
05DEC1930,0.0006628004
08DEC1930,-0.028109354
09DEC1930,0.0023256484
10DEC1930,-0.014380526
11DEC1930,-0.021320044
12DEC1930,-0.009616877
15DEC1930,-0.032169511
16DEC1930,-0.03634497
17DEC1930,0.0500862936
18DEC1930,0.006680534
19DEC1930,0.0135837656
22DEC1930,-0.039653969
23DEC1930,0.0031350879
24DEC1930,0.0138362004
26DEC1930,-0.024635108
29DEC1930,-0.006348437
30DEC1930,0.0181288801
31DEC1930,0.0090945785
02JAN1931,0.0314600432
05JAN1931,0.005109393
06JAN1931,0.0113581324
07JAN1931,-0.004644151
08JAN1931,0.0068425898
09JAN1931,-0.016666081
12JAN1931,-0.012952247
13JAN1931,-0.012217916
14JAN1931,0.0090579786
15JAN1931,-0.028099221
16JAN1931,0.0129364753
19JAN1931,-0.021386274
20JAN1931,0.0267073655
21JAN1931,-0.006412993
22JAN1931,0.0222084633
23JAN1931,0.0198654784
26JAN1931,-0.003789761
27JAN1931,-0.00216368
28JAN1931,-0.023575101
29JAN1931,0.0120939188
30JAN1931,0.0027793401
02FEB1931,-0.003727264
03FEB1931,0.0059098334
04FEB1931,0.0083324036
05FEB1931,-0.01027879
06FEB1931,0.002947594
09FEB1931,0.0451169726
10FEB1931,0.0193921155
11FEB1931,0.0037457353
13FEB1931,-0.004905348
16FEB1931,0.0103884189
17FEB1931,-0.018376479
18FEB1931,0.0085956442
19FEB1931,0.0183832729
20FEB1931,0.0201788536
24FEB1931,0.0321006181
25FEB1931,-0.018905726
26FEB1931,0.0078861879
27FEB1931,-0.009880625
02MAR1931,-0.031813101
03MAR1931,-0.003368287
04MAR1931,-0.015354546
05MAR1931,0.0204027315
06MAR1931,-0.027223019
09MAR1931,0.0309520477
10MAR1931,-0.009484909
11MAR1931,-0.009410804
12MAR1931,-0.009777733
13MAR1931,-0.00685144
16MAR1931,0.0259310568
17MAR1931,-0.016473932
18MAR1931,0.0183239711
19MAR1931,0.0140889216
20MAR1931,0.0061985878
23MAR1931,-0.018278113
24MAR1931,0.0090732962
25MAR1931,-0.00972455
26MAR1931,-0.013665148
27MAR1931,-0.024513762
30MAR1931,-0.027098211
31MAR1931,-0.001159689
01APR1931,-0.008974942
02APR1931,-0.005459202
06APR1931,-0.001001148
07APR1931,-0.015976583
08APR1931,0.0149154502
09APR1931,-0.004552046
10APR1931,-0.000296305
13APR1931,0.0138322933
14APR1931,-0.015552596
15APR1931,-0.022637491
16APR1931,-0.012651047
17APR1931,-0.014621412
20APR1931,0.019652097
21APR1931,-0.028427932
22APR1931,-0.015609454
23APR1931,0.0067559212
24APR1931,-0.010664554
27APR1931,-0.03914881
28APR1931,-0.012293172
29APR1931,-0.029773087
30APR1931,0.0514360319
01MAY1931,-0.03781156
04MAY1931,0.0332373205
05MAY1931,-0.010083895
06MAY1931,0.0049544826
07MAY1931,-0.00569306
08MAY1931,0.03647079
11MAY1931,-0.018629816
12MAY1931,-0.008747571
13MAY1931,-0.004068435
14MAY1931,-0.020184977
15MAY1931,-0.014770303
18MAY1931,-0.035002341
19MAY1931,-0.004741729
20MAY1931,-0.008098381
21MAY1931,0.0129834484
22MAY1931,-0.000358384
25MAY1931,-0.048621708
26MAY1931,0.0018046475
27MAY1931,-0.017812272
28MAY1931,0.0079979099
29MAY1931,-0.02574392
01JUN1931,-0.045304886
02JUN1931,-0.008753686
03JUN1931,0.0688175617
04JUN1931,0.0328962141
05JUN1931,-0.010445518
08JUN1931,0.0192392192
09JUN1931,-0.021942938
10JUN1931,0.0285426545
11JUN1931,-0.00182889
12JUN1931,0.0029976261
15JUN1931,-0.012636078
16JUN1931,0.0015513614
17JUN1931,-0.013301329
18JUN1931,-0.023615993
19JUN1931,-0.001916664
22JUN1931,0.1124567572
23JUN1931,-0.013323866
24JUN1931,0.0521963544
25JUN1931,-0.008213055
26JUN1931,0.0241798903
29JUN1931,-0.00893358
30JUN1931,-0.016444155
01JUL1931,0.0163786517
02JUL1931,-0.007759623
03JUL1931,0.0246475279
06JUL1931,-0.015971254
07JUL1931,-0.04607135
08JUL1931,-0.01442648
09JUL1931,0.0074808134
10JUL1931,0.0141156243
13JUL1931,-0.031377833
14JUL1931,-0.011155157
15JUL1931,-0.021456817
16JUL1931,0.0295179551
17JUL1931,0.0043569992
20JUL1931,0.0130274579
21JUL1931,0.0152485955
22JUL1931,-0.028907344
23JUL1931,0.0007715238
24JUL1931,-0.025707992
27JUL1931,0.0045218092
28JUL1931,0.0134440265
29JUL1931,-0.038460739
30JUL1931,0.0054188768
31JUL1931,-0.011310344
03AUG1931,0.0154644146
04AUG1931,-0.007299302
05AUG1931,-0.017738824
06AUG1931,-0.002463883
07AUG1931,0.0101153707
10AUG1931,-0.00645906
11AUG1931,0.0430064087
12AUG1931,-0.018215702
13AUG1931,0.0186436928
14AUG1931,0.0276418063
17AUG1931,-0.022236388
18AUG1931,0.0019841276
19AUG1931,0.003251116
20AUG1931,0.0014806983
21AUG1931,-0.023741892
24AUG1931,-0.007095823
25AUG1931,-0.007073351
26AUG1931,0.0237193852
27AUG1931,-0.009117404
28AUG1931,0.0151734947
31AUG1931,-0.009779156
01SEP1931,0.0051513314
02SEP1931,-0.02032942
03SEP1931,-0.030839937
04SEP1931,-0.00391331
08SEP1931,-0.026203707
09SEP1931,-0.00590018
10SEP1931,-0.008837503
11SEP1931,0.0072790209
14SEP1931,-0.055558711
15SEP1931,-0.005870454
16SEP1931,-0.011090378
17SEP1931,0.0207459104
18SEP1931,-0.056424355
21SEP1931,-0.037630043
22SEP1931,-0.012986606
