volume,close,return
4.27547,17.79,0.010795455
4.58192,17.78,-0.000562114
5.10694,17.88,0.005624297
4.69874,18.08,0.011185682
5.93444,17.95,-0.007190265
4.78683,18.1,0.008356546
3.89578,18.15,0.002762431
4.20373,18.06,-0.004958678
4.92068,17.97,-0.004983389
5.29126,18.24,0.015025042
5.39076,18.36,0.006578947
9.24323,18.36,0
5.05846,18.16,-0.010893246
3.97367,18.06,-0.005506608
5.12502,18.34,0.015503876
4.24935,18.28,-0.003271538
3.26118,18.24,-0.002188184
3.77311,18.12,-0.006578947
4.62406,17.94,-0.009933775
5.20169,18,0.003344482
3.7813,17.98,-0.001111111
4.48778,18.24,0.014460512
4.27356,18.26,0.001096491
3.60409,18.39,0.007119387
3.36808,18.45,0.003262643
4.41835,18.34,-0.00596206
10.95448,18.1,-0.01308615
10.42991,18.28,0.009944751
3.92294,18.16,-0.006564551
4.14388,17.99,-0.009361233
4.05107,18.23,0.013340745
5.80768,18.48,0.013713659
4.19242,18.61,0.007034632
4.08788,18.59,-0.001074691
4.56284,18.68,0.004841313
2.39248,18.61,-0.003747323
3.75219,18.44,-0.009134874
3.50227,18.53,0.004880694
4.46581,18.43,-0.005396654
3.73344,18.49,0.003255562
3.62305,18.35,-0.00757166
3.55726,18.23,-0.00653951
5.6249,17.82,-0.0224904
5.44512,18.15,0.018518519
3.59849,18.41,0.014325069
3.74798,18.42,0.000543183
3.53494,18.5,0.004343105
6.39252,18.95,0.024324324
7.13526,19.14,0.010026385
7.63282,19.5,0.018808777
7.92374,19.54,0.002051282
4.27272,19.55,0.000511771
4.75356,19.41,-0.007161125
5.11016,19.41,0
5.07589,19.2,-0.010819165
3.42123,19.13,-0.003645833
4.29636,19.39,0.013591218
3.8321,19.38,-0.00051573
5.54312,19.35,-0.001547988
4.06631,19.3,-0.002583979
4.09667,19.41,0.005699482
4.41691,19.36,-0.002575992
4.37978,19.31,-0.002582645
4.36931,19.09,-0.011393061
3.99638,18.85,-0.012572027
3.63613,18.57,-0.014854111
5.44504,18.13,-0.02369413
3.78281,18.39,0.014340871
2.82155,18.67,0.015225666
4.03127,18.26,-0.021960364
3.00599,18.28,0.00109529
3.55202,18.71,0.023522976
3.33314,18.47,-0.012827365
5.2169,18.51,0.002165674
6.79303,18.73,0.011885467
5.20429,18.44,-0.015483182
4.95663,18.9,0.02494577
4.83485,18.81,-0.004761905
3.45851,18.98,0.009037746
3.73956,19.13,0.007903056
3.28752,18.94,-0.009932044
3.50012,19.15,0.011087645
3.36654,19.12,-0.00156658
2.42011,18.97,-0.007845188
3.4799,18.71,-0.013705851
3.5751,18.69,-0.001068947
4.02954,18.62,-0.003745318
6.17036,18.29,-0.017722879
3.53345,18.46,0.009294697
2.62852,18.39,-0.003791983
4.69783,17.99,-0.021750952
4.75646,17.8,-0.010561423
8.50135,18.38,0.03258427
5.21581,18.26,-0.006528836
6.11372,18.33,0.003833516
3.86066,18.49,0.00872886
4.71877,18.55,0.003244997
6.35,18.55,0
